cladeID	nkmers	card	gsize	csize
N6281	512855	8	211644	646
N5842	618410	9	211700	647
N6705	175853	2	211700	649
N6279	192876	2	211702	652
N6280	265875	3	211702	650
N5841	457522	5	211720	652
N5400	1073619	14	212083	652
N5840	111091	2	212083	654
N5399	197222	3	212085	655
N5000	1270484	17	212268	655
N4628	11723471	108	213778	655
N4258	155012	2	227731	657
N4259	47933907	485	227731	655
N3891	48088193	487	228127	657
N9416	325936	2	228127	659
N9198	487491	3	228129	660
N9417	130245	2	228129	662
N9199	248527	3	228131	663
N8936	735770	6	228167	663
N9601	261282	2	228167	665
N9759	210781	2	228167	667
N9602	396523	3	228169	668
N9418	657644	5	228185	668
N9760	182331	2	228203	670
N9888	172671	2	228203	672
N9761	300229	3	228205	673
N9603	482326	5	228223	673
N9419	628502	6	228233	674
N8937	1498124	12	228357	675
N8647	2233111	18	228634	675
N8296	2402180	19	228715	676
N7919	2535381	20	228790	677
N7521	2612967	21	228813	678
N8935	259614	2	228813	680
N8646	350026	3	228815	681
N8294	265882	2	228821	684
N8295	460922	4	228821	682
N7918	725377	6	228862	684
N7520	867834	7	228901	685
N7132	3480300	28	229163	685
N8645	253993	2	229163	687
N8293	421570	3	229165	688
N7917	546442	4	229171	689
N7519	649792	5	229181	690
N7916	320041	2	229181	692
N7518	514164	3	229183	693
N7131	1163739	8	229246	693
N6704	4642914	36	229717	693
N8643	302505	2	229717	695
N8933	274416	2	229717	697
N9600	272271	2	229717	699
N9415	430217	3	229719	700
N9197	569445	4	229725	701
N8934	714440	5	229739	702
N8644	986473	7	229806	702
N8292	1285504	9	229988	702
N8641	273147	2	229988	706
N8642	273887	2	229988	704
N8291	543346	4	229996	706
N7914	318019	2	230740	708
N7915	1821782	13	230740	706
N7517	2138261	15	231063	708
N7129	443107	2	231352	711
N7130	2271989	16	231352	709
N6703	2714782	18	231483	711
N6278	7355435	54	232368	711
N8930	312992	2	232368	713
N8639	465184	3	232370	714
N9194	335254	2	232370	716
N8931	475403	3	232372	717
N9596	229849	2	232372	719
N9886	286457	2	232372	721
N9755	433766	3	232374	722
N9597	591750	4	232380	723
N9413	819964	6	232421	723
N9195	942045	7	232454	724
N9756	296139	2	232454	726
N9598	455447	3	232456	727
N9757	392666	2	232456	729
N9887	224682	2	232456	731
N9758	328762	3	232458	732
N9599	720000	5	232475	732
N9414	1169981	8	232588	732
N9196	1378826	9	232692	733
N8932	2317659	16	233312	733
N8640	2790139	19	233854	733
N8290	3250972	22	234617	733
N8637	357372	2	234617	737
N8638	292463	2	234617	735
N8289	648572	4	234625	737
N7913	3892267	26	235934	737
N7516	4048818	27	236154	738
N8636	10557	3	236154	741
N8929	4572	2	236154	740
N8288	15978	4	236155	742
N8635	288519	2	236155	744
N8287	402005	3	236157	745
N7912	417926	7	236170	745
N7515	578234	8	236179	746
N7128	4623955	35	237007	746
N8286	179812	2	237007	748
N7911	290627	3	237009	749
N7514	424842	4	237015	750
N7127	511664	5	237027	751
N6702	5135106	40	237318	751
N7126	231181	2	237318	753
N6701	391587	3	237320	754
N6277	5526338	43	237502	754
N5839	12876073	97	240204	754
N9409	514681	2	240204	756
N9592	583877	2	240204	758
N9410	850384	3	240206	759
N9191	1354739	5	240226	759
N8927	1547806	6	240256	760
N9752	409720	2	240256	762
N9593	625196	3	240258	763
N9411	802820	4	240264	764
N9192	1026153	5	240278	765
N9996	506980	2	240279	767
N9883	712538	3	240281	768
N10092	490135	2	240302	772
N9594	1196620	5	240302	770
N9997	750310	3	240304	773
N10239	524293	2	240310	776
N9884	979533	4	240310	774
N10173	778881	3	240312	777
N10093	1060153	4	240318	778
N9998	1312152	5	240332	779
N9885	1510696	6	240362	780
N9754	2480411	10	240900	780
N9595	2673714	11	241177	781
N9412	3847135	16	243511	781
N9193	4038628	17	244151	782
N8928	5049447	22	247079	782
N8634	6559701	28	254043	782
N8285	6716384	29	255777	783
N9407	390119	2	255777	785
N9591	346733	2	255777	787
N9408	540055	3	255779	788
N9190	925389	5	255799	788
N8926	1147389	6	255829	789
N8633	1313352	7	255885	790
N8284	1534754	8	255978	791
N7909	369972	2	266238	793
N7910	8211254	37	266238	791
N7513	8574507	39	268285	793
N7124	197233	2	268429	796
N7125	8679008	40	268429	794
N6699	318905	2	268729	798
N6700	8875780	42	268729	796
N6276	9190175	44	269948	798
N7122	322070	2	269948	802
N7123	193006	2	269948	800
N6698	514764	4	269956	802
N6275	673213	5	269966	803
N5838	9863004	49	270243	803
N5398	22720747	146	280387	803
N8924	300420	2	280387	805
N9751	189451	2	280387	807
N9590	326309	3	280389	808
N9406	413409	4	280395	809
N9189	488998	5	280407	810
N8925	618135	6	280431	811
N8631	310597	2	280482	813
N8632	917448	8	280482	811
N8283	1227668	10	280574	813
N7908	1360453	11	280607	814
N8922	302884	2	280607	816
N9188	286052	2	280607	818
N8923	425908	3	280609	819
N8630	728519	5	280628	819
N9187	325191	2	280628	821
N8921	469110	3	280630	822
N8629	624392	4	280636	823
N8281	267512	2	280734	825
N8282	1352591	9	280734	823
N7907	1619803	11	280829	825
N7511	177366	2	281198	827
N7120	296886	2	281323	829
N7121	3156650	24	281323	827
N6697	3453209	26	281485	829
N8919	171134	2	281485	831
N8920	128888	2	281485	833
N8628	299838	4	281493	833
N8280	355745	5	281501	834
N7510	379075	7	281510	836
N7906	378651	6	281510	835
N7119	461050	8	281521	837
N6696	492973	9	281530	838
N6274	3945800	35	281814	838
N8279	340124	2	281814	840
N7905	517278	3	281816	841
N8278	312543	2	281816	843
N7904	452755	3	281818	844
N7509	969256	6	281844	844
N7903	238325	2	281844	846
N7508	334114	3	281846	847
N7118	1302796	9	281905	847
N6695	1410413	10	281946	848
N7902	210292	2	281946	850
N7506	291313	2	281948	853
N7507	327239	3	281948	851
N7116	134642	2	281965	855
N7117	618111	5	281965	853
N6694	752690	7	281978	855
N6273	2160651	17	282150	855
N5837	6105305	52	282887	855
N5397	6226180	53	282994	856
N4999	28936758	199	288908	856
N7115	247926	2	288908	858
N6693	399129	3	288910	859
N6272	542659	4	288916	860
N5836	734935	5	288930	861
N5396	913937	6	288951	862
N4998	1072921	7	288966	863
N4627	30001742	206	292016	863
N4257	30070226	207	292189	864
N9585	78275	2	292189	866
N9586	86157	2	292189	868
N9401	105532	4	292197	868
N9184	118631	5	292211	869
N9402	84180	2	292295	871
